# 営業定例MTG 2026-07-31 逐語（mlx-whisper large-v3-mlx・自前生成）
# 前半 00:00〜23:55 = ステータス確認（議事録の対象）／23:55〜 = インサイドセールス以降・naru手動対応済み

[00:00] 決めちゃっていいと思ったんだけど 契約締結する
[00:02] 契約締結したらもう始まりますね
[00:05] 契約締結待ちっていう状態だから
[00:07] 企業フェミーティングも事前に 調整しちゃって
[00:09] この日までには締結しましょうみたいな
[00:12] それがちょっと難しそうだった
[00:15] じゃあ結局のところは?
[00:18] 契約締結 復元
[00:20] コンパーソン済みからステータスしては
[00:22] コンパーソン済み だけど契約締結が見ていくから
[00:25] コンパーソン済みでいいから
[00:27] なんか小学館に来なかったですか?
[00:30] 株式会社小学館
[00:33] じゃあこれリンさんの方 片一方コンバージョン済みになってるんで
[00:36] 中村凛も2つある
[00:38] 中村と中村凛
[00:41] 中村さんのエージェントは消えそうになった
[00:44] じゃあ921の方は消しますね
[00:47] 日帳中になってる方は
[00:50] 中村さんのエージェントやんちゃなかん
[00:52] 中村にしてる
[00:55] いやなんかそれも本当は人間が 操作するべきじゃないんだよな
[00:58] あ、そうなの?
[01:00] なんかその今データ開いてなかったから
[01:01] 分かんなかったけど
[01:02] なんかどっかにメモとか書いてあって
[01:05] そういうのAIにやらせるとAIは
[01:06] なんかこのメモが書いてあります
[01:08] 統合しますって言って
[01:12] これはあれですね また担当者いないですね
[01:15] それさ
[01:17] 渡辺さんのエージェントが担当者フルタインで言ってくる
[01:20] 謎のやつだから
[01:21] デフォルトフルタインだって言うから
[01:22] 変えて
[01:24] で、この大畑さんは何ですか?
[01:28] なんか俺もリマインドしても
[01:29] 契約直前で
[01:32] なんか音信不通になって
[01:34] リマインドしても反応ないから
[01:35] 死んだ
[01:36] じゃあ
[01:38] 不採用撤退ですか?
[01:39] そうかなー
[01:40] なんかもうこの人は死んじゃった
[01:42] じゃあ変えますね
[01:44] 僕がやらなくてもいいか
[01:46] はい、じゃあツアー障子
[01:47] これは連絡一生返ってこないんで
[01:49] またリマインドしようと思ってます
[01:52] で、柴田さん
[01:54] 誰?
[01:55] でもフルさんになってますよ
[01:57] やめても本当に
[01:58] 知らない
[01:58] それやられると俺がシンプルに話したけど忘れてるのか
[02:03] なんか俺じゃないので無理やり俺にされても
[02:05] わかんないですよ
[02:05] じゃあ、フルさんを外しておきました
[02:08] 誰だって?
[02:10] 柴田、佐、かやみ
[02:12] でもこれ俺も知らない
[02:14] 会社名ないの?
[02:16] 個人ですね
[02:17] 取り合わせないよとか
[02:18] 書いてないね
[02:19] 5月31日に日調送信付きになってるんで
[02:22] 日調の返事がないパパなんだよ
[02:24] 多分そうですね
[02:26] 5月?
[02:27] 日調返事なしのステータスあった方がいいんじゃないですか
[02:29] 確かに
[02:30] そしてリマインドしやすい
[02:31] 柴田あったじゃん、福岡じゃん
[02:33] いやいや、これ女の人ですよ、名前
[02:35] あ、そう
[02:36] 日調返事なし
[02:38] なんかやるとしてんの?
[02:39] 柴田、あやみ
[02:42] あーてるねー
[02:44] これ何これ?
[02:45] 永井先生が犯人だとした
[02:47] チャイ…
[02:48] チャイ…
[02:49] チャイ…
[02:50] アン…
[02:51] チャイウェイ…
[02:52] なんかよくわかんない名だろうな
[02:55] 問い合わせないよ、ノーションにしてるから
[02:58] いや僕のやつは全部入れてますよ
