課題,順位,動作名,videoId,開始,終了,秒数(start-end),長さ,確認リンク,confidence,動画タイトル,秒数チェック,内容チェック(枝光様)
ハムストリングス（太もも裏の筋肉）が硬い,1,歩行前準備エクササイズ・前後左右ステップ,dvXAaxcJvjI,4:40,6:40,280-400,120s,https://youtu.be/dvXAaxcJvjI?t=280,High,[Walking is dangerous] If you feel your lower body,,
ハムストリングス（太もも裏の筋肉）が硬い,2,ランジ,a1D22s1Ulq0,1:00,2:55,60-175,115s,https://youtu.be/a1D22s1Ulq0?t=60,High,【40代50代】落ちにくい体脂肪を自宅で落とす!!(正月太り解消),,
ハムストリングス（太もも裏の筋肉）が硬い,3,スクワット＋アームプル,xAl8J7nXy-o,8:30,10:25,510-625,115s,https://youtu.be/xAl8J7nXy-o?t=510,High,[Diet for Middle-Aged and Elderly] Eat and lose we,,
椎間板由来の問題の可能性,1,上体ひねり,Yc-CoK9IvhU,6:40,8:00,400-480,80s,https://youtu.be/Yc-CoK9IvhU?t=400,High,[Stretching to improve lower back pain] 5 minutes ,,
椎間板由来の問題の可能性,2,座位・体幹ねじり前屈,NAA4seZW7JA,8:55,10:10,535-610,75s,https://youtu.be/NAA4seZW7JA?t=535,High,[Diet to get rid of belly fat] Easy exercise that ,,
腰方形筋緊張,1,サイドクランチ,89_1HPCGnpY,2:50,4:40,170-280,110s,https://youtu.be/89_1HPCGnpY?t=170,High,【お腹引き締め】腹筋運動で!コロナ太り解消②(サイドクランチ),,
腰方形筋緊張,2,座位・骨盤左右持ち上げ,NAA4seZW7JA,0:20,1:55,20-115,95s,https://youtu.be/NAA4seZW7JA?t=20,High,[Diet to get rid of belly fat] Easy exercise that ,,
腰方形筋緊張,3,フロントランジ＆バックランジ,7LuB5yG0KFM,1:00,2:30,60-150,90s,https://youtu.be/7LuB5yG0KFM?t=60,High,【コロナ太り解消】ウォーキングよりも効く、一畳分のスペースで簡単エクササイズ！！,,
仙腸関節機能不全,1,スプリットスクワット,Ncz1IoEni6A,0:50,2:50,50-170,120s,https://youtu.be/Ncz1IoEni6A?t=50,High,【宅トレ】美脚・美尻筋トレ！毎日使う筋肉を鍛えよう！,,
仙腸関節機能不全,2,ボール挟み片足スクワット,zD6aCTZo1Lc,1:40,3:35,100-215,115s,https://youtu.be/zD6aCTZo1Lc?t=100,High,【なないろ日和！で紹介】膝の痛みや腰痛を予防するエクササイズ,,
仙腸関節機能不全,3,サイドスクワット,epBXiYJ1s58,6:36,8:30,396-510,114s,https://youtu.be/epBXiYJ1s58?t=396,High,[Boost your basal metabolic rate] How to develop a,,
梨状筋緊張(坐骨神経痛の可能性),1,仰向け片膝クロス倒し,AKq_Yn42gIA,8:19,10:00,499-600,101s,https://youtu.be/AKq_Yn42gIA?t=499,High,【下半身の衰えを防ぐ】1分でできる老いない歩き方,,
梨状筋緊張(坐骨神経痛の可能性),2,座位股関節外転クロス,B3EPjxw9YBg,3:20,5:00,200-300,100s,https://youtu.be/B3EPjxw9YBg?t=200,High,【1日1分でスッキリ】運動不足解消！座ってできる筋トレ(腹筋と股関節編),,
梨状筋緊張(坐骨神経痛の可能性),3,股関節外旋サークル,HEaniDyoZIU,1:10,2:45,70-165,95s,https://youtu.be/HEaniDyoZIU?t=70,High,【50代〜60代】知らないと損する！スクワット前にやるべきトレーニング,,
腸腰筋短縮(反り腰の可能性),1,ランジ姿勢での大腿四頭筋ストレッチ,4lJsP-5qG20,5:15,7:10,315-430,115s,https://youtu.be/4lJsP-5qG20?t=315,High,【健康】太ももと足首をほぐして長く歩いても疲れない脚を作るストレッチ（セルフチェック付）,,
腸腰筋短縮(反り腰の可能性),2,椅子座位・足の交互上げ,evPoHj_i8fE,0:28,2:22,28-142,114s,https://youtu.be/evPoHj_i8fE?t=28,High,[Successful for a woman in her 70s] Better than wa,,
腸腰筋短縮(反り腰の可能性),3,片膝ボス乗り 足前上げ,3Rq7buF6daQ,3:20,5:10,200-310,110s,https://youtu.be/3Rq7buF6daQ?t=200,High,Easy exercises to keep your legs and hips healthy ,,
脊柱管狭窄症の可能性,1,バランスチェック スクワット回旋,lkOpMMvGTII,0:50,2:43,50-163,113s,https://youtu.be/lkOpMMvGTII?t=50,High,【中高年必見】バランスが良いと思っている人もチェックはするべし！現状把握をする！ 心身健康倶楽部#1,,
脊柱管狭窄症の可能性,2,棒を使った体幹ひねり,nf4FEHAnsp8,1:10,3:00,70-180,110s,https://youtu.be/nf4FEHAnsp8?t=70,High,[Solve your hunched back] If you want to straighte,,
脊柱管狭窄症の可能性,3,ツイストランジ,afAJgqV4EV0,0:50,2:35,50-155,105s,https://youtu.be/afAJgqV4EV0?t=50,High,【お腹引き締め】腹筋運動で!コロナ太り解消①(ツイストランジ),,
胸椎可動域低下(猫背の可能性),1,座って行う肩・背中トレーニング,XJhzmJQkyBs,0:50,2:50,50-170,120s,https://youtu.be/XJhzmJQkyBs?t=50,High,【1日1分でスッキリ】運動不足解消！座ってできる筋トレ(肩と背中編),,
胸椎可動域低下(猫背の可能性),2,肩・首ほぐしストレッチ,aPSe_2jLBJQ,1:00,3:00,60-180,120s,https://youtu.be/aPSe_2jLBJQ?t=60,High,【通院要らず】10秒で四十肩を予防する方法 肩・後編,,
胸椎可動域低下(猫背の可能性),3,猫背改善ストレッチ,PTCw0Hi6WA0,7:40,9:40,460-580,120s,https://youtu.be/PTCw0Hi6WA0?t=460,High,【猫背改善】猫背になるのが嫌な人だけ見てください！猫背の原因と改善ストレッチを紹介！,,
中殿筋弱化,1,中殿筋トレーニング・右足外転,Rw-99HbC8uc,2:30,4:10,150-250,100s,https://youtu.be/Rw-99HbC8uc?t=150,High,【簡単】腰痛の原因に効果的なストレッチ！,,
中殿筋弱化,2,脊柱起立筋トレーニング,4sKIU_L1OFc,3:35,5:10,215-310,95s,https://youtu.be/4sKIU_L1OFc?t=215,High,【中高年】なないろ日和！で紹介されたマスト筋はこれだ!!背中のトレーニング3種目,,
