[00:07] よろしくお願いします
[00:08] よろしくお願いいたします
[00:12] ではですね
[00:13] 前回お話しさせていただいた内容をですね
[00:16] ご提案書という形で
[00:17] ご紹介させていただきましたので
[00:20] 今日はですね
[00:21] こちらを一緒に読み合わせればなという風に
[00:24] 思っております
[00:26] はいよろしくお願いします
[00:28] ではもう一回お話しさせていただきます
[00:30] よろしくお願いいたします
[00:31] こちら画面の共有でいっておりますでしょうか
[00:35] はい大丈夫です
[00:37] ありがとうございます
[00:39] 前回のお会いの
[00:41] 対応の方にですね
[00:44] まずは
[00:44] こちらの方に受け負いで
[00:46] 一気にというよりは
[00:48] アドバイザー的な感じで
[00:49] 関われたんだという風なところで
[00:52] ご覧いただきましたので
[00:54] 一旦ちょっとそちら前提で
[00:57] えーと
[00:57] えーと
[00:57] 内容の方を練らせていただきました
[01:01] はい
[01:01] はい
[01:02] でですね
[01:03] ちょっと現状みたいなところを
[01:04] ヒアリングさせていただいた結果
[01:06] 把握整理させていただければなという風に
[01:09] 思っております
[01:11] でえっとですね
[01:13] DX化 AI化していきたいみたいなところが
[01:15] まず前提にあるかなという風に思っております
[01:18] でまあこれであくまでも一例としてですけれども
[01:21] お話しさせていただいている限りですと
[01:24] 受発中のところかなり業務の上に
[01:26] 重いんじゃないかなと
[01:27] いう風に思ってますっていうのと
[01:29] まあデジタル化 AI化する前の
[01:32] まあ下地作りみたいなところで
[01:34] やはりこの必要な情報ですね
[01:37] 取り扱う情報が
[01:38] まずデジタル化されてるっていうのが第一歩
[01:40] それがされてることによって
[01:42] まあ何かAIを使って自動化でしたりとか
[01:44] システムを使って自動化みたいなところが出てくるので
[01:48] えーとまあOCRでですね
[01:49] FAXでのご注文多いっていう風なお話だったので
[01:52] そこのFAXできたものを
[01:55] まあこう自動でデジタル情報に変えるみたいなところで
[01:58] まあまずあの直近で
[02:01] こう崩すべき壁といいますか
[02:03] なんじゃないかなという風に思っています
[02:05] っていう風なところです
[02:07] でまあそういったところの取り組みに対してですね
[02:10] あのコンサルティング的な形で
[02:13] ご支援させていただけたらな
[02:15] という風に思っておりまして
[02:17] まあそのまずは紙からデジタルの移行
[02:19] でデジタルにした上で
[02:20] どういう風に効率化していくか
[02:22] 自動化していくかとか
[02:23] そういったところまで見据えて
[02:25] ご支援させていただいたらな
[02:27] っていう風なところで考えております
[02:28] でまあ直近で取り組む課題としては
[02:31] まあAIの導入推進みたいなところですね
[02:33] 前回のお茶わすで参加されているメンバーで
[02:37] AIの送信の
[02:39] AIの導入の推進を行っていく
[02:41] という風なところだったかと思うので
[02:43] ちょっと定期的にですね
[02:44] お話させていただいたりでしたりとか
[02:47] あとはですね
[02:48] 受発注だったりとか
[02:49] その関連する事業部といいますか
[02:52] あの分野のご担当者さんとも
[02:54] やり取りさせていただくようなこともあるかな
[02:56] という風に思っております
[02:58] でまあ支援のコンセプトみたいなところですね
[03:00] ここにまとめているんですけれども
[03:03] 私たちですね
[03:04] やはりパートナーとして
[03:05] 動かしていただくっていう風なところが
[03:08] かなり強みの会社かな
[03:09] という風に思っておりますので
[03:11] しっかりとですね
[03:12] ただ聞かれたこと答えるだけとか
[03:14] 言われたシステム作るだけとか
[03:17] っていう形ではなくですね
[03:19] 御社の業務でしたりとかも
[03:21] 理解させていただきながら
[03:22] こちら側からこういうことできるんじゃないですか
[03:24] みたいな形で
[03:25] ご支援させていただければな
[03:27] っていう風なところと
[03:28] あとはですね
[03:30] AI周りですね
[03:31] 弊社かなり強い会社かなという風に思っているので
[03:34] まずいったんお話聞いている限りですね
[03:37] いきなりAIっていうよりは
[03:38] 情報のデジタル化みたいなところから
[03:41] 始まっていくべきかなと思うんですけれども
[03:43] 最終的にはそういったところ
[03:45] 言ったら業界で最先端の自動化だったりとかですね
[03:48] 技術を使えるみたいなところまで
[03:51] 持っていけると
[03:52] 弊社ならではの価値も出せるのかな
[03:54] という風に思っているという風なところになります
[03:57] あとはですね
[03:58] 基本的なところではありますけれども
[04:00] 情報セキュリティですね
[04:02] 特にAI使う場合なんかは
[04:04] かなり重要になってくるので
[04:06] そういったところを気をつけてやっていきますよ
[04:08] というようなところ
[04:09] B2Bでシステムを導入させていただくにおいて
[04:12] ここは切っても切れない部分になりますので
[04:15] そこも意識させていただければな
[04:16] というようなところになります
[04:18] でですね
[04:19] もうちょっとやり方みたいなところは
[04:21] いろいろあるかなと思うんですけれども
[04:23] まずはですね
[04:24] 順位認定役ですね
[04:27] 時間短暇でご支援させていただいて
[04:28] いただくでしたりとか
[04:30] またアドバイザリー契約みたいな形で
[04:32] 月何時間までご支援いたします
[04:34] というようなところで
[04:35] 定例ミーティングでなったりとか
[04:37] 手出しでまとまって
[04:40] 費用が必要というようなことにならないような形で
[04:42] 最初始めさせていただくのが
[04:45] 始めやすいのかなという風なところで
[04:47] させていただいております
[04:49] 最終的にどういうところを作りたいか
[04:51] みたいなところは
[04:52] 一般業務のところは
[04:54] 昨日じゃない前回のお茶合わせで
[04:56] 話題データのところは
[04:57] 全般的に
[04:58] やっていきたいなというところと
[05:00] ちょっとこの先いろいろと
[05:02] ヒアリングさせていただきながら
[05:04] 見えてくるところであるかなと思うんですけれども
[05:08] 紙からエクセル出荷フィギュアのところを
[05:11] ある程度効率化すると
[05:13] 他のところにもいろいろつなげていけるんじゃないかな
[05:15] という風なところには思っております
[05:20] 先ほどのご説明のところと
[05:22] 内容をかぶっちゃうかなと思うんですけれども
[05:24] 一旦ですね
[05:25] お茶側で感じられているような課題を
[05:28] 読めさせていただいております
[05:30] 自社発注処理のところ
[05:32] かなり効率化できそうだなという風に
[05:34] お話しさせていただいていて思うと
[05:37] 一般業務のところも
[05:38] AI活用していろいろやっていきたいという風なところで
[05:41] 結構ですね
[05:42] 会社さんによっては
[05:43] そもそもAI使って何かやっていきたいみたいな
[05:46] それすら思ってない会社さんも
[05:48] やっぱり全体で見ると多いので
[05:50] DXデジタル化何が重要かというと
[05:53] やっぱり現場の方たちがですね
[05:56] しっかりとそういったことができるようなものを
[05:58] できるっていうのを把握していて
[06:01] それをやっていきたいって気持ちがあるかどうかっていうのは
[06:04] かなり重要だったりするので
[06:05] これがそもそもやろうと思えばできるんだっていう意識を
[06:08] 持ててないケースがやっぱり大半なので
[06:11] せっかくそこはですね
[06:12] しっかりとこういうことができるってことを
[06:14] 分かっていてやりたいっていう風に
[06:16] おっしゃっていただいているので
[06:17] そこを実現できたらなという風に思っている
[06:20] というところですね
[06:21] あとセキュリティのところは重複するので
[06:23] 問わさせていただければなという感じですね
[06:26] アドバイザリー契約でご支援させていただいて
[06:28] いただければなという風に思っておりまして
[06:31] 具体的にやらせていただく内容としては
[06:34] こんな感じになってくるかなという風に思っております
[06:38] 時間短化の形で動かしていただく感じになるので
[06:42] 動いた分だけにするのか
[06:44] 毎月何日まで動きますようで決めるのか
[06:47] 契約形態いろいろあるかなと思うんですけれども
[06:49] まずはコンサルティング的なところのサポートですね
[06:52] こういった形でお打ち合わせしながらですね
[06:55] 何をしたらいいかみたいな相談もそうですし
[06:58] 何かネクストアクションを設定して
[07:00] 次回までにこういうことやってきてみてくださいね
[07:02] みたいなところとか
[07:03] その上で何か詰まったところありましたら
[07:06] 相談に乗りますよみたいなところとかですね
[07:08] あと受発注処理のところ
[07:10] ここ個人的にお話聞いててかなり
[07:14] やりがいのある部分なんじゃないかなと思って
[07:17] ちょっとこの辺は
[07:19] オシアルっていうのが
[07:21] 実際にうまく文字起こしできるかとかっていうのが
[07:24] いろいろとちょっと実験してみる必要があったりしますので
[07:27] その辺契約結ばせていただくという風に思っております
[07:28] そういったことをちょっとお話しさせていただきましたら
