################################################################
# ⚠️ 録音失敗につき部分逐語（救出版）
# この録画は OBS が naru さんのマイク音声のみを捉えており、
# Meet 越しの相手側（枝光様・高橋様ら）の音声が録れていません。
# さらに約3分半以降はマイク音声もほぼ無音（mean -50dB 前後＝ノイズフロア）。
# 下記は意味の通る実音声（=naru さん側）のみを残したもの。
# 元の生 whisper 出力（無音区間の捏造「はい」を含む）は parts/part_00X_v3.json に保存。
################################################################

[00:01] こちら今映ってますでしょうか
[00:06] 前回の画面の年齢とか身長とか性別とかを入れて
[00:25] 年齢とか入れていただいた後の質問のところを書き換えていきました
[00:31] シートのようにの通りに回答していくとなると
[00:36] 一つの動作につき5つ質問があると思うんですけど
[00:41] それだと25回答えないといけないというところで
[00:44] 一動作につきこういう感じで複数選択できたりとか
[00:49] という風に作成してきました
[00:57] 画面の数を減らしたという感じになっています
[01:01] 実際だとここに動作の解説動画が入って
[01:09] それを見たユーザーの方が
[01:11] 質問に答えていくという風になってます
[01:16] こんな感じで選んでいただいて
[01:20] それぞれの痛みだったら
[01:22] 軽さ1から10というところで選べるようにしていて
[01:27] 例えばここが詰まったというのだったら
[01:29] これも同じようなフローで選んで
[01:34] 痺れましたみたいな感じで進められるようにしています
[01:40] どうぞ
[01:41] どっちほど詳しくヒアリングできたらなと思っているんですが
[01:45] 痛く感じる箇所の複数選択というのは
[01:50] 実際に動作をやってみると
[01:51] ここもここもあちこち痛いみたいなことってあるのかなと思っていて
[01:55] それはどうですかね
[01:57] 一つだけ選択できるべきなのか
[02:00] いくつも選んで
[02:01] それぞれの痛みをそれぞれ選べるみたいなようにされるのかというのを
[02:08] ちょっとどうされますかね

# --- 以降、相手側の発言は録れておらず naru さんの応答のみ断片的に残存 ---

[03:47] ありがとうございます
[03:48] 一旦一つ目の動作こんな感じで回答しましたってなると
[05:37] ありがとうございます、おっしゃる通りかと思います
[05:39] それだとこう何て言うんですかね、項目がすごい増えちゃうので
[05:44] 固く感じますか / はい・いいえ・わからない とかにするのとかも（案）
[06:27] ありがとうございます
[06:36] そうですね…ちょっとごめんなさい、今回は（…）いただきます

# --- これ以降（約6:45〜41:59）は音声がほぼ無音のため逐語復元不能 ---
