[00:01] なんかよく言ってるやつですよね
[00:03] フルさんが
[00:09] はい
[00:12] はい
[00:19] 1回か2回
[00:22] 僕は会ったと
[00:23] 記憶してますけど
[00:27] なんか自転車で
[00:30] 着てありましたよね
[00:31] なんか寒そうな格好で
[00:33] ですよね
[00:34] 多分1,2回会ってます
[00:42] はい
[01:10] はい
[01:40] はい
[02:15] なるほど
[02:15] それを僕が巻き取りそうっていう感じですかね
[02:19] 分かりました
[02:52] はい
[03:17] はい
[03:49] はい
[04:19] はい
[04:21] はい
[04:23] はい
[04:25] はい
[04:25] はい
[04:26] はい
[04:28] はい
[04:28] はい
[04:29] はい
[04:29] はい
[04:30] はい
[04:31] はい
[04:31] はい
[04:32] はい
[04:33] はい
[04:53] はい
[04:56] はい
[04:58] はい
[04:58] はい
[04:59] はい
[04:59] はい
[05:00] はい
[05:03] はい
[10:08] はい
[10:41] はい
[11:09] はい
[11:55] はい
[12:11] はい
[12:36] はい
[13:04] はい
[13:59] はい
[14:31] はい
[14:59] はい
[15:34] はい
[16:14] はい
[16:51] はい
[17:08] はい
[17:46] はい
[18:02] はい
[18:33] はい
[18:56] はい
[18:57] はい
[19:12] はい
[19:13] はい
[19:13] はい
[19:13] はい
[19:15] はい
[19:16] はい
[19:16] はい
[19:16] はい
[19:16] はい
[19:16] はい
[19:16] はい
[19:16] はい
[19:18] はい
[19:33] はい
[19:35] はい
[19:38] はい
[19:39] はい
[19:39] はい
[19:42] はい
[19:43] はい
[19:45] はい
[19:45] はい
[19:46] はい
[19:48] はい
[20:18] はい
[21:30] はい
[22:38] はい
[22:53] はい
[23:31] はい
[23:56] はい
[24:27] はい
[24:52] はい
[25:23] はい
[25:51] はい
[26:28] はい
[26:56] はい
[27:40] はい
[28:13] はい
[28:42] はい
[29:02] はい
[29:27] はい
[29:57] はい
[30:03] はい
[30:34] はい
[31:08] はい
[31:51] はい
[32:07] はい
[33:20] はい
[33:39] はい
[34:08] はい
[34:35] はい
[35:09] はい
[35:45] はい
[35:58] はい
[36:33] はい
[36:33] はい
[36:34] はい
[36:34] はい
[36:35] はい
[36:35] はい
[36:35] はい
[36:35] はい
[36:35] はい
[36:48] はい
[36:48] はい
[36:48] はい
[36:48] はい
[36:49] はい
[36:59] はい
[37:00] はい
[37:00] はい
[37:00] はい
[37:01] はい
[37:03] はい
[37:03] はい
[37:04] はい
[37:04] はい
[37:04] はい
[37:04] はい
[37:04] はい
[37:04] はい
[37:06] はい
[37:07] はい
[37:35] はい
[37:37] はい
[37:37] はい
[37:38] はい
[37:40] はい
[37:40] はい
[37:42] はい
[37:45] はい
[37:46] はい
[37:47] はい
[37:48] はい
[37:49] はい
[38:05] はい
[38:06] はい
[38:06] はい
[38:07] はい
[38:09] はい
[38:10] はい
[38:10] はい
[38:10] はい
[38:10] はい
[38:10] はい
[38:10] はい
[38:14] はい
[38:15] はい
[38:28] はいはい
