[0.0-15.0] アシスタンコのスタイルの方もご参加いただいております。よろしくお願いします。
[15.0-29.0] よろしくお願いします。私がテクノの高尾で、ちょっと遅れて代表の山中もちょっと来ます。進めていて構わないということだったんで。
[29.0-31.0] はい。
[31.0-33.0] はい。
[33.0-41.0] いや、もう本当にですね、今数分で来るっていう話だったので。はい。大丈夫です。
[41.0-42.0] はい。
[42.0-44.0] はい。
[44.0-49.0] お願いします。
[49.0-51.0] はい。
[81.0-83.0] お願いします。
[83.0-84.0] はい。
[84.0-85.0] はい。
[235.0-238.0] 先ほどのご説明もう一度。
[238.0-240.0] ちょっと、ちょっと。
[240.0-242.0] ざっくりと。
[311.0-312.0] 思っております。
[312.0-338.0] で、具体的な動き方としましては、システム構築の前に技術検証でしたりとか、要件定義っていうフェーズが入ってくるんですけれども、そこで実際にこのマニュアルをAIに渡して、ちゃんと意図通りの回答が返ってくるか。あとは、トークン使用料っていうのが、送る質問だったりとか、持たせるマニュアルによって変わってくるんで、どういう質問を送ったらどのくらいのトークン使用料になるのか。
[338.0-363.0] で、トークン使用料に対する重量課金っていうのが、基本的なAIのAPI使うときの料金になってくるんで、大体のケースで、1ラリいくらぐらいだよねみたいなところはしっかりと検証してから、実装に動いていくみたいな流れになりますので、基本的に想定外にコストが分かるっていうふうなことはないかなっていうふうには思っておりますので、ご関心いただければと思います。
[363.0-368.0] すいません。弊社のご紹介のところに移らせていただければなと思います。
[368.0-373.0] こちらですね。
[373.0-378.0] こちらですね。私が共有しているWebサイトが、画面共有できておりますでしょうか。
[378.0-379.0] はい。
[379.0-381.0] ありがとうございます。
[381.0-382.0] ではですね。
[382.0-396.0] ではですね。ちょっとWebのほうからお問い合わせいただいているかなというふうに思いますので、もしかしたらすでにご覧になられているところもあるかなと思うんですけれども、こちらのほう使ってですね、弊社のご紹介させていただければなというふうに思っております。
[396.0-417.0] まずですね。ちょっと大枠のところからご説明させていただきますと、弊社ですね。システム開発会社ではあるんですけれども、少し特徴がございまして、そこがですね、AIを用いた開発でしたりとか、ノーコードですね。プログラミングをしないでシステムを作っていくっていうふうな考え方になるんですけれども、そういったところのテクノロジーですね。
[417.0-434.0] 割と新しいですね、開発テクノロジーを、結構最先端のところを取り入れられているかなと思ってはいるんですけれども、そういったものを使って開発をご提供させていただくことによってですね、開発を従来よりも安く早くご提供させていただくっていうふうなところが特徴の会社となっております。
[434.0-457.2] もう一つですね、開発安く早くみたいなところも明確な強みかなと思ってはいるんですけれども、さらに本質的なところ、力を入れて提供させていただいているところがありまして、そこがですね、ただただシステムを作るのではなくて、しっかり事業に対して、事業の成功に対してコミットをするっていうふうなスタンスで、システム開発を提供させていただいております。
[457.2-475.8] システム開発、安く早くっていうふうなところにも通じてくるんですけれども、弊社の考え方としましては、このちょっと図を使ってご説明させていただければなと思うんですけれども、システム開発っていうふうなものはですね、このビジネス上のプロセスの一重の部分しか占めないかなというふうに思っております。
[475.8-487.8] つまりどういうことかというと、システム開発自体が目的になることはほぼほぼないなというふうに思っておりまして、事業全体の何か目的があって、その上での手段としてシステム開発がある。
[488.1-499.5] なのでシステム開発して終わってしまっては意味がないかなというふうに思っておりまして、システム開発をしてやりたかったことっていうのが、この一重の次の重100っていうのがあるかなというふうに思っております。
[499.5-508.4] 作ったものをしっかりお客様に使っていただくでしたりとか、何かマーケティングだったりとかに役に立つように活用していくっていうふうなところでした。
[508.9-517.6] また業務効率化みたいな文脈がある場合は、しっかりと業務効率化に役立っているか、社内で使ってくれているか、その改善みたいなものが必要になっちゃう。
[518.7-528.0] こういったこの一重の開発だけではなくて、重100っていうふうに呼ばせていただいているんですけれども、作ったものを使っていく、広めていくっていうふうなところ、
[528.0-536.3] 例えば内製化支援なのか、営業なのかとか、あとはオウンドメディアでマーケティングしていくのかとか、報告売っているとか、いろいろあるかなと思うんですけれども、
[536.6-541.4] そういったところのサポートもさせていただきますっていうふうなところが、弊社の強みとなっております。
[541.8-550.5] イメージで言ったら、ここの一重のところ、システム開発が安く早くできることによって、さらに事業の成功を左右するようなところですね。
[550.5-558.5] この重100のところに費用だったりとか、時間を投下していただけたらなっていうふうなところで、システム開発を提供させていただいております。
[559.0-565.3] もう一つですね、この一重の前の01のところも力を入れて提供させていただいておりまして、
[566.1-573.9] やはりシステム開発安く早くとはゆえですね、時間がゼロになるわけではないですし、費用もゼロになるわけではないので、
[573.9-578.9] そこはしっかりと意味のあるものを作っていきましょうっていうふうな考えが根底であります。
[579.4-587.3] 結構ですね、安く作れるからいいやっていうふうな形で、投げ割りに作ってしまうと、なかなかうまくいかないっていうふうなことも多かったりしますので、
[587.7-591.8] このコンセプト作成でしたりとか、そもそもどういった機能が必要なのか、
[592.3-596.8] 事前のプランニングのところもかなり力を入れて提供させていただいております。
[596.8-605.2] 先ほどの技術検証みたいなところでしたりとか、具体的にどのくらいお金が借りそうかみたいなところももちろんですし、
[605.5-612.8] 事業計画ベースでですね、この事業全体の目標から逆算して、開発に予算をどのくらいかけるべきなのか、
[613.3-618.5] 開発の予算をこのくらい収めるので、この辺で営業だったりとかマーケティングにこのくらい予算かけたら、
[618.7-622.6] このくらいの売り上げが立ちそうですよみたいなところのご支援もされていただいております。
[622.6-629.0] そういったところからひも付いてですね、結構システム開発に使える補助金みたいなところも多かったりしますので、
[629.4-633.9] そういったところの補助金の獲得支援みたいなところもお手伝いさせていただいております。
[634.5-638.4] こんな感じでですね、事業01のところから10100のところまで、
[638.5-641.7] こうまるっと伴奏サポートさせていただくっていうふうなところが、
[642.0-644.9] 弊社の一番の強みかなというふうに思っております。
[645.4-648.7] なのでですね、サービス提供内容みたいなところも、
[648.7-654.2] 割と事業全体にまたがるような感じで幅広く提供させていただいているかなと思っておりまして、
[654.6-657.0] 今回ですね、ご相談いただいている開発は、
[657.4-662.4] 内容はここのシステム開発のところになってくるかなというふうには思っているんですけれども、
[662.7-667.4] 例えばですね、DX系ですね、チャットボット導入でしたりとか、
[667.5-671.7] AI導入みたいなところ、かなり使える補助金を充実しておりますので、
[671.7-675.4] ここの補助金申請支援のところも、
[675.7-679.4] またお手伝いさせていただくことも可能かなというふうに思っておりますし、
[679.8-683.2] また今回、ディフィール、チャットボットを作っていくっていうふうなところにですね、
[683.5-687.1] 本当に目的に対してディフィールが最適化みたいなところとかは、
[687.1-690.1] ちょっといろいろとヒアリングさせていただければなと思うんですけれども、
[690.5-694.1] ノーコードツール使ってチャットボットを作るっていうふうなところの良さとしては、
[694.1-699.5] コーディング不要ですので、割と使い方さえ覚えてしまえば、
[699.9-702.6] 社内でちょっとカスタマイズしていくでしたりとか、
[703.0-708.0] 同じ要領で別の製品のマニュアルのボットを作ってみるみたいなことも、
[708.1-712.2] ゆくゆくは社内でできるようになるんじゃないかなというふうなところもあったりしますので、
[712.6-715.0] もしそういったところを目指していかれるっていうふうな場合は、
[715.2-721.9] 研修でしたりとか導入支援みたいなところもサービス提供させていただくことができるかなというふうに思っております。
[721.9-725.3] この辺でちょっと画面に投影している内容ですと、
[725.4-728.6] 何か気になるところとかって、今話した内容の中でも、
[728.7-731.5] それ以外でも大丈夫なんですけど、あったりされますでしょうか。
[732.7-738.3] そうですね。補助金申請支援は、ちょっとぜひいろいろ情報をいただきたいなと思ってました。
[739.3-742.4] 承知いたしました。そしてこちらの内容に関しましては、
[742.4-746.2] 今日のミッキング内でいろいろとお話しできればなと思いますので、
[746.5-750.1] 後ほど流れの中でご説明させていただければなと思います。
[750.1-756.4] ちなみに自社で運用していけるようになりたいなみたいなところとかっていうのはあったりされますか。
[756.9-759.2] えーとですね、どう思いますか。
[762.0-763.9] あんまり技術者が、
[765.4-770.0] 本業に割ぐ時間もかなりかつかつるんで、
[770.7-773.7] 別にスキル的にはやりゃできるとは思うんですけど、
[773.7-778.3] 割とうちの技術者ってみんなベテランで、
[778.4-782.1] 本業の方でしっかり働いて稼がないといけないメンバーなので、
[783.1-789.0] 理想を言うと、社内的にそういった知見も蓄積はしたいんですけど、
[789.1-792.9] そこまで手がいかないっていうのが実績的なところかなと。
[792.9-799.4] ですね、確かに担当者さんがいないとなかなか難しいところではあるかなという気がしますね。
