[00:06] マットがここかな
[00:12] そうなのかな
[00:14] マットをここでくれるとは別にあるんですけど
[00:20] まずい話があるんですけど
[00:23] 多分勝てるような気がする
[00:25] 今は上映が始まっています
[01:03] 失敗しても、いずれに企業で一発は終わるので
[01:08] 失敗したら終わりなんで
[01:09] 逆に僕はオーカルに最低でも自分の演奏ができなくて
[01:15] そりゃそういうくすぐっちゃう気がするんで
[01:18] くすぐる程度はわかんないけど
[01:21] フルさん、Mock変更できたら途中でDM飛ばします
[01:26] OK
[01:33] お世話になっております
[01:36] お世話になっております
[01:38] よろしくお願いいたします
[01:39] よろしくお願いいたします
[01:41] ではですね、本日前回お茶をさせていただいた内容をもとにですね
[01:45] ご提案書の方とMockアップの方を準備してまいりましたので
[01:49] こちらをもとにご説明させていただければなという風に思っております
[01:59] メールでお伝えした一緒に仕事をしております
[02:03] 木野さん
[02:03] 先生も一緒に入らせていただいております
[02:06] よろしくお願いいたします
[02:07] よろしくお願いいたします
[02:09] みたいなところとかから振り返らせていただいた方が
[02:13] よさそうですかね
[02:15] そうしましたら
[02:16] すみません、じゃあちらっとよろしいですか
[02:18] そうですね
[02:19] ただそうですね
[02:20] 最初の方、前回のミーティングの振り返りみたいなところ
[02:25] させていただきますと
[02:27] まずプラットフォームですね
[02:29] 論文をなんて言うんでしょうか
[02:32] ちょこっと有名なものを書いておりますので
[02:35] 11種の方だったりとかコメント付きでポストできるみたいな感じのシステムだったりとかですね
[02:41] あとは論文検索みたいな機能とかもついているような
[02:44] プラットフォームも開発されたりという風なところで
[02:47] お問い合わせいただいておりまして
[02:49] そこでですね
[02:50] ちょっと細かな機能面のところとかを深掘りさせていただいたりという風なところと
[02:55] あと補助金活用のですね
[02:58] ちょっとご提案を弊社の方からさせていただきまして
[03:01] それがですね
[03:02] 貯金で使いやすい補助金があるという風に思っておりますので
[03:04] デジタル化AI導入補助金という風なものになってくるんですけれども
[03:09] どちらかというと業務効率化向けの補助金だったりしますので
[03:14] 今回新規プロダクト開発みたいなところだったりしますので
[03:17] 少し業務効率化系で他にやりたいことみたいなのありませんかという風なところと
[03:22] そういったところをセットで申請していければ
[03:24] 今回の開発も補助金の対象経費でできそうですよという風なところを
[03:29] ご提案させていただいたという風な背景があります
[03:33] 大体補助金のですね
[03:35] 補助率が1分の2とか3分の2とかだったりしますので
[03:40] 開発が例えば300万円で開発を行うという風な形になった場合だと
[03:45] 補助金使えるか使えないかで
[03:47] 200万から150万ぐらい変わってくるかなという風なイメージです
