[00:02] 完全に売れる感じで
[00:03] 気がするんですけど
[00:04] 一緒にいいんだとか
[00:07] 何か言わせたいと思います
[00:10] あんなに大した技術じゃないところが気になるんですけど
[00:14] あのままでも
[00:15] 大体そういうものだと思います
[00:17] ただそれをいかに注入していくかというところが
[00:20] 今大観のソーツ化で
[00:22] 出てくる程度から
[00:23] 車中の方は
[00:24] 全然こんな感じで注入していきます
[00:28] という見せ方になるから
[00:32] 中部の部分が結構コースを取られる感じとかあるかなと
[00:36] ちょっと出しました
[00:37] そこから3年前から
[00:40] ちょっと目でからってちょっと
[00:41] やるけどあるんですけど
[00:43] 現時点でやっぱりシータガニというのと
[00:46] こんな感じのご提案になりそうです
[00:49] 2年目の2年目の特にネクサイトだければ
[00:52] チャレンジにしている
[00:54] 今デジタルでこのココミもやりときに
[00:59] 私ももとよで ゲームヘッションを
[01:03] 補助で
[01:04] はあんまり自然会の 商品
[01:10] を中で
[01:14] を出会う
[01:18] やったら普通にその通りというのは
[01:21] 紙の教材とか
[01:22] 価値があるというか
[01:23] よりも
[01:24] 原作物ののみを
[01:25] オーガキの
[01:26] インタラクシー的な
[01:27] 反応する
[01:28] 僕がある
[01:31] 教材
[01:31] というのが
[01:32] これから
[01:33] 実績も提供できる
[01:35] そういったものが
[01:36] 提供できる
[01:37] というのが多いですね
[01:37] といったものが
[01:38] 多いですね
[01:40] ただ
[01:40] 原理理系ですね
[01:42] VR
[01:43] ステーション
[01:44] クイズケーション
[01:45] みんなで学習
[01:52] ブーブー
[02:05] 県内の小学校
[02:06] 会社という
[02:08] poc
[02:09] 小学校
[02:13] 小学校
[02:14] 小学校
[02:19] 今それくらい
[02:22] 原格すると抑えられるか抑えられるような気がする
[02:25] まあ中
[02:25] 重ねて
[02:39] 私の声は届きますか
[02:48] 少々お待ちください
[02:55] 僕の声は届いてそうです
[02:59] 話してるかな?
[03:04] すみません、私は場所移動したんですけど
[03:06] 音声を戻ります
[03:10] よかったです、すみません
[03:22] ターゲットは福岡県で
[03:26] 1校とか2校とかですかね
[03:29] そこで1年目はカレンジ検証を行っていくみたいな感じのイメージかなと認識しております
[03:36] すみません、ちょっと2、3個ぐらいで
[03:42] 頭ちょっとこれ忘れてはいけないのが
[03:44] もちろん使うのは小学校の児童だと思うんですけども
[03:49] 先生もちゃんと使いこなせたりとか
[03:51] なんか先生が情報登録して教材を作っていけるとか
[03:57] 検討にはいいですよ、やっていく方向性になるかなと思って
[04:01] 基本的にターゲットには学校の先生も入れちゃったらいいかなと思って
[04:04] 学校の先生が結局から提供している場合があるので
[04:08] 小学校の先生としてもらっています
[04:10] ここの2つのステークを移植して内容を検討して
[04:17] 行うことの方向性とデジタルグロップも作っていると
[04:22] ゲームインティケーション
[04:23] ここの2つですね
[04:29] 1年目はPOCの検証で、今回ミーティングの内容をもとに作らせていただいたような形で、プロトタイプを何回も何回も作って改善していくみたいな感じで、現場の意見、次こんなに直してきました。どうですか。
[04:45] 感じでやっていけたらいいのかなというふうに思っています
[04:49] 現場に提供しつつもスピーディーに修正できるみたいなところとかでいうと
[04:55] うちがもはや一番得意なエイドがありますので
[04:59] そこをどんどりに活かして
[05:01] 過率検証をしていただけるんじゃないかなというところですね
[05:06] その後の動きみたいなところで言いますと
[05:09] 1年目手探りといいますか
[05:11] 現場のニーズを拾いながらある程度のものを作っていて
[05:15] その後以降ですね
[05:18] 最終的には日本全国の導入みたいなこともできたらいいんじゃないかなとは思いつつではあるんですけれども
[05:26] 共通企画みたいなところを作って
[05:28] まずは県内全体に提供できるようなことにしてあげているところのイメージです
[05:44] あとは現状整理ですね
[05:46] 今がどうだからどうした方がいいか
[05:49] 整理させていただいて
[05:52] 言ったら教科書とかって
[05:56] これは当たり前になっていたので
[05:57] なかなか意識されていないところだと思うんですけど
[06:00] 何十ページもある教科書を楽しく読むのって
[06:04] なかなか難しいですよね
[06:08] それをゲーミフィケーションでしたりとかデジタルプログラスを使って
[06:11] 効率的に楽しく学習をしたらというところがどう思ったかなと思っています
[06:19] あとは体験学習みたいなところですね
[06:23] 私もそういったところのお話いろいろと聞きたいなことがあるので
[06:27] お話聞いている限り私自身が大学生の頃というのも結構言われていたんですけど
[06:33] 体験学習がかなり重要ですよというのは
[06:37] 業界でも言われていると力を打ちているときだと思うんですけど
[06:41] そこをもっとITデジタルの力があって
[06:44] 要するにゲーミジケーションみたいなところ
[06:46] あとフィールドワークとIT合わせるからすごい面白いなと
[06:50] 言ったらポケモンボークですよ
[06:54] 楽しく勉強できたらいいんじゃないかなと
[06:57] それができたような気持ちです
[07:00] あとは楽しみと遊びの境目を曖昧にするじゃないですけども
[07:07] 学習勉強だったので、教科書、教材を読んで学習して終わり、内緒は読んでテスト乗り切ったのが終わりになっちゃうんですけど
[07:16] そこを自ら、生徒、児童から楽しんで、もうここ学習終わった範囲だけど楽しかったからもう一回やりたい
[07:25] そんな感じになるようなことができたらいいんじゃないかなという感じのことが最近あります
[07:30] なるほど
[07:32] これを実現するのにどうしたらいいかみたいな
[07:36] 先ほどMockupアプリで出させていただいたものを
[07:40] 開発していきましょう
[07:43] こちらの主導機能
[07:46] 以上でお願いします
[07:49] 具体的にこれになったら新発生される
[07:53] いやその場所は
[07:55] まだ迷ってはしない
[07:57] 大丈夫ですか?
[08:04] ちょっとここですね
[08:07] 今回いきなりシステム開発していくというよりは
[08:11] 仮説検証をしながらやっていくので
[08:14] これで決まりですよというのは全くないですけど
