[00:01] います ちょっとシートにですね情報整理してきたので今日そこを一緒に見たいなっていうのと
[00:08] えっとまぁモック モックレベルではあるんですけどもえっとまぁこんな感じで画面を改善したらいいんじゃ
[00:14] ないかみたいなところを作ってきましたのでそこ一緒に見ながらえっとまぁご意見を 伺えればなというふうに
[00:23] 思っております ちょっとこちらのシートも持ち方
[00:28] をとっ
[00:30] とっ
[00:39] ああいう記者とっ
[00:48] 入っていこう
[00:55] そのままに大瀬さんさんはじめましてよろしくお願いします
[00:59] よろしくお願いします
[01:01] ちょっとサポートでもう一枚動ける人間入れたので
[01:04] はい
[01:05] 動いていければなというふうに思っております
[01:09] えっとですねで
[01:11] これ前回一緒に見た数値とあんまり変わんないんですけど一応ここに数値まとめてきましたっていう感じですね
[01:19] えっと現状直近
[01:51] あるのかないのかっていうところですけどメールの開封率はあの年平均に比べて直近は低いんでもしかしたら減少傾向なのかなぁみたいなところあります ちなみにこの辺とかってなんか思い当たる理由とかあったりしますか全然わかんないですねこのあたり履歴取れてないんで私の方でまぁあのマッチング実際始めたのが
[02:20] 5か月ですよね5か月したらちょうどいい時期なんで
[02:25] 5か月5月ですね直近5月5月5月分と直近1年平均がこんな感じ
[02:33] いやまぁ極端なもうそれは何もしないです
[02:35] シンプルにこれ始めたの1年前ぐらいですよね
[02:38] いや9月10月ですよ
[02:41] メールの送信履歴って
[02:44] 吉栗さん何月ぐらいからありましたっけ
[02:46] 一応そうですね6月ぐらいから
[02:50] あーもう少しはこれ始めてたかもしれないですね
[02:53] どうだろう
[02:54] なんで
[02:54] テストか
[02:56] じゃあそれからそのぐらいから始めてるんでしょうね
[03:02] ちょっとあんま記憶はあのーそだかではないです
[03:05] シンプルに1年近くメールを送り続けてってある程度のユーザーが離脱したというか
[03:13] みたいなのはあるのかなっていう
[03:14] マッチングの状況がまだちゃんと把握できてないんで
[03:19] もしかしたらその可能性あるんですか
[03:21] ですねリンクのクリックはあんま変わってないんで
[03:24] 多分一定数のユーザーが毎回見るみたいな感じなことがします
[03:30] で対話者率とかはちょっと地下以降
[03:33] あの都知事大臣以降が取れてないんで
[03:36] わからないっていう感じですね
[03:40] まあこれが直近の1か月で
[03:43] まあこれが直近の1か月で
[03:43] 1か月と1年平均で見たときの差分ですね
[03:47] まあそんなに注目すべきとかないかなって気がします
[03:50] ここで言ったらちょっと下がっていってるねーぐらい
[03:53] このまま減少傾向なのかもしれませんぐらいですかね
[03:59] でそれを毎月これちゃんと記録していきましょうっていうのがこのシートです
[04:09] で6月のところ6月
[04:13] 5月分から入れましょうか
[04:15] まあでもどうかな
[04:16] 5月のところは特に何もやってないんで
[04:26] よいしょ
[05:43] こんな感じにあこれ違うな
[10:00] 例えばこれ、A、メールで送信してほしいだったら、
