[00:17] すいません
[00:21] 一応すでに医学領域だと
[00:26] 割とそういうサイトを作ってあるサイトがありまして
[00:30] こんなにすごくなくていいんですけど
[00:32] 同じようなことをやりたいと思っていて
[00:36] 医学関係で論文検索するっていうと
[00:40] いくつかあるんですけど
[00:41] このパブメドっていう
[00:43] アメリカのところが作っている
[00:45] 全国の論文を集めているサイトがあって
[00:49] 皆さんそこから検索して
[00:51] 最新の論文だったり気になる論文とかを
[00:54] 引っ張ってきて引用したりとかして
[00:56] そういうのを作っているんですけど
[00:57] これが英語なので
[01:00] ちょっと使いづらいっていうところとかもあって
[01:02] この会社さんは
[01:04] それをここに日本語で単語を入れると
[01:07] そっちの英語の方から引っ張ってきてくれるよ
[01:09] みたいなシステムを売りにしているっていうか
[01:12] 全文翻訳してくれるみたいな
[01:15] 日本語で探して日本語で引っ張ってきて
[01:18] ある程度翻訳してくれるみたいな感じの
[01:21] サイトなんですけど
[01:24] それ以外にも
[01:26] こんな感じで
[01:28] 論文を見つけてきてお知らせしてくれて
[01:32] こんな感じで
[01:33] 気になったものを自分のところにカテゴライズできる
[01:37] みたいなサイトを作っているところもありまして
[01:42] これみんな医学系なんですけど
[01:47] 最終的に私はもう一つ
[01:50] それ以外に取り入れたいものとして
[01:52] 気になるワードを
[01:57] 知らされてもあまり興味がないので
[01:59] もともと自分が気になる分野を登録しておいて
[02:02] それに関するような論文がアップされたりしたら
[02:06] お知らせしてくれるみたいなのが
[02:08] このサイトですごいシンプル
[02:11] ここのサイトはシンプルなんですけど
[02:13] それだけっていう感じではあるんですけど
[02:15] LINEでお知らせしてくれるみたいなサイトではあって
[02:20] 今回システム的には私たちもこのサイトを作って
[02:24] お知らせはLINEで作ってくれるみたいなサイトであって
[02:37] 全体に使うことができました
[02:43] 普通全容というか
[02:46] 簡単な企画文としては
[02:49] こんな感じになっておりまして
[02:54] さっきのは医学関係なんですけども
[02:57] 私たち私が獣医師ってこともあって
[03:00] 獣医学関係の出版社を今
[03:03] 自分がそういう関係のお仕事をしているときに
[03:07] 自分がそういう関係のお仕事をしているので
[03:07] 獣医師さん向けのサイトを作りたいというふうに思っていて
[03:10] さっきのやつの獣医師向けみたいな感じですよね
[03:14] メインはさっきのだと
[03:17] PubMedから引っ張ってきて
[03:19] AI翻訳してくれるだけみたいな感じのサイトだったんですけど
[03:24] 周りの先生たちに聞いてみると
[03:27] 論文を読んだところで解釈をどうしたらいいかわからないから
[03:31] 日常に活かしにくいみたいな声も聞こえたので
[03:35] 要するにただのサイトで作ってくれるみたいな感じで
[03:37] 今私が出版社しているのでそういうことになるんですけど
[03:40] 例えばあるA先生に1ヶ月に4本記事あげてくださいって言って
[03:48] 自分が気になった論文を翻訳して
[03:50] その先生がコメントを入れるみたいな
[03:52] 1個の論文記事みたいなのを作成して
[03:56] お金払って作成していただいて
[03:57] 一応ここでそれが著者って書いてあるんですけど
[04:00] その著者の先生が自分有名な先生が書いた論文とか読んで
[04:05] こう思いましたみたいな
[04:07] 内容の要約と論文の解釈みたいなのを入れたものを
[04:11] 週に1回配信することで
[04:14] そこに有益性があるっていうか
[04:17] それにお金を払う価値が
[04:19] ただAI翻訳してくれるだけじゃないので
[04:22] 書いてくれた記事っていう部分もあるので
[04:24] それで課金してくれるかなと思ってるんで
[04:26] それを軸にしようかなと思ってるんですけど
[04:30] そこをちょっと全体的にアナログな感じなんですけど
[04:34] でその星コントロールをしているんですけど
[04:37] その星コンテンツとするって書いてあるんですが
[04:38] その星コンテンツがただいっぱい溜まっていくと
[04:42] 後から調べにくいっていうところもあるので
[04:45] 有料会員になってくださった先生たちはそれも見られるし
[04:50] それを自分たちのカテゴリーに分けられるとか
[04:53] 気になるものにチェックを入れておくとか
[04:55] それをマイボックスの中で
[04:58] 自分が後でもう1回見そうだなっていうのだけチェックするとか
[05:01] もう絶対見ないなっていうのはごみ箱に入れるとかわかんないんですけど
[05:04] なんかそういう風にカテゴリー分けができたりとか
[05:07] 何か何かっていう風にカテゴリー分けができて
[05:10] 検索しやすいようにすると
