[00:11] ウルさん来ますか
[00:30] おいしいよー
[00:32] あ、でもエリア帯でも出れないから
[00:34] 落ちちゃうよ
[00:40] サラダは密接しといて
[00:41] スタートする
[00:42] あ、そういうことやったんですか、すみません
[00:47] いや、なんか
[00:47] しないとねーぐらい
[00:49] しないとねーって言ってんだから
[00:51] しといて
[00:53] そういうこと
[00:54] 僕がするんやと思ってなかったんでごめんなさい
[01:02] いやなんか僕が
[01:05] あそうそう
[01:12] 入れますよ入れますよ
[01:26] お待たせしました
[01:27] よろしくお願いします
[01:38] 共有していただいて
[01:54] 今日こちらですね
[01:55] 質問回答の時間にしようと思っておりまして
[01:59] 次回の打ち合わせまでに
[02:01] ショピファイの方
[02:01] デザインの細かい部分以外は
[02:04] 全部完成まで持っていきまして
[02:05] でもその後実際に触っていただいたら
[02:08] 多分結構ここどうなってますかみたいな質問が
[02:11] 出てくるかなというふうに思っておりますので
[02:14] 今日はその完成に向けた細かい質問のところを
[02:18] 一問一答みたいな感じでやらせていけたらなというふうに思っております
[02:26] 先にこのNext Actionまで書いてきちゃってるんですけれども
[02:30] 弊社の方ではShopifyの機能部分のところは
[02:33] 全部完成までさせてくるっていうようなところと
[02:43] こちら様側ではマネファードのアカウントを
[02:46] ご共有していただきたくて
[02:49] ショピファにつなぎ合わせるときに
[02:51] どっちみちログインが必要というところと
[02:53] 現在の請求書のフォーマットとかですね
[02:56] 確認させていただきたいっていうようなところで
[02:59] ログインできる情報を
[03:01] ミーティング後にご共有していただけたらなと思っております
[03:07] ジャンの管理エクセルと商品の管理エクセルみたいなところを
[03:11] 今使われているものでいいですので
[03:14] オーカーズの方に共有していただけたら
[03:17] そちらも見て質問のところの部分埋めてきたりとか
[03:21] ショピファイに反映してきてみたいなところ
[03:23] させていただけたらなと思っているので
[03:25] 今日はそういった感じでよろしくお願いいたします
[03:46] こちらスプシの質問のところの
[03:49] タブになるんですけれども
[04:17] 質問結構増えていて
[04:18] 大きい質問を答えていただくといくつか埋まるみたいなところがあるので
[04:23] そちら何個か私の方から聞かせていただいて
[04:29] 埋めていくっていうような流れで進めさせていただければなと思っております
[04:35] マネーフォワードのアカウントと
[04:37] 商品に関するExcelの部分をご共有いただくと
[04:41] 埋まる部分もありますので
[04:43] そこの部分は今日は省略させていただいて
[04:46] それ以外の結構重要な部分に関しては
[04:49] 聞かせていただけたらなというふうに思っております
[05:05] 前回返品の部分のところを 返品伝票みたいなところを出しして
[05:13] 進めていくっていうところで デポジット方式がいいんじゃないかっていうようなところがあったと思うんですけれども
[05:18] こちらってゼリーさんとかと相談とかってされましたかね
[05:24] まだできてないですね。来週の火曜日にJDCさんが来られますので、そこで話す形になるかなと思います。
[05:33] 承知いたしました。ありがとうございます。
[05:36] どうでしたら、ここの部分細かくはなるんですけれども、デポジット方式でいく場合の細かい部分みたいなところが。
[05:45] これJDCさんとオフラインで会われる感じですか?
[05:50] そうです。
[05:52] もし可能だったら私たちにも話せた方がいいですよね
[05:56] 3人で話した方がいいですよね
[05:58] そうですね
[05:59] ご説明しづらいですもんね
[06:03] あと8月来られるじゃないですか会社の
[06:06] その時から税理士行った方がいいのかなとか思ったり
[06:11] どちらかというと8月にレクチャーさせに行っていただくまでに
[06:14] システム完成してないとレクチャーできないじゃないですか
[06:18] なんでそれまでに決めちゃって
[06:21] どうするか決めて
[06:22] 開発したいという感じなんですよね
[06:24] そうなんですね
[06:25] そうなると
[06:27] そうですね
[06:29] それほうがいいですね
[06:32] そうなったら
[06:32] Zoomとかつないでいただいて
[06:36] お電話でも大丈夫ですし
[06:39] スピーカーとかで
[06:41] 例えば来週
[06:41] 明けておくので
[06:43] 来週の4日火曜日
[06:46] 来週の4日
[06:48] 火曜日何時ごろになりますか?
[06:50] 10時に来るんですね
[06:53] 10時
[06:55] ちょっと別のミーティング入っちゃってるんで
[06:58] 開けれないか聞いてみようと思います
[07:01] はい、すみません
