[00:33] でもなんか
[00:34] できれば早めにお打ち合わせをお願いしたいのですが
[00:37] って先方から返信きてるんで
[00:39] もしかしたら
[00:40] なんかあるんかもしれないですね
[00:54] こんにちは
[00:59] こんにちはよろしくお願いいたします
[01:02] アディードのヤコウと申します
[01:05] よろしくお願いいたします
[01:05] 本日はお打ち合わせを担当させていただきます
[01:07] 川井市会社大和の古谷と申します
[01:09] よろしくお願いいたします
[01:10] よろしくお願いします
[01:12] アシスタントの細谷の方も同席させていただきますので
[01:15] よろしくお願いいたします
[01:16] よろしくお願いします
[01:18] ではですね
[01:19] ちょっと今日の流れについて軽く
[01:21] まず冒頭でご説明させていただこうと思います
[01:24] はい
[01:25] 今回資料請求の方ありがとうございました
[01:28] はい
[01:28] 興味ある事業というようなところで
[01:31] 少し情報いただいてるかなと思いますので
[01:33] 冒頭でそちらをですね
[01:35] 軽く深掘りさせていただいて
[01:36] 軽くご質問させていただいた上でですね
[01:39] 5分から10分程度でですね
[01:41] 弊社のご紹介のお時間いただければなという風に
[01:43] 思っております
[01:44] その後の時間でですね
[01:46] 具体的なご支援の内容でしたりとか
[01:48] どういったサポートができそうかという風なところを
[01:51] 探らせていただければなと思っておりますので
[01:53] よろしくお願いいたします
[01:54] よろしくお願いします
[02:06] よろしくお願いします
[02:08] はい
[02:09] ではですね
[02:09] 資料請求の際にいただいていた情報の確認から
[02:13] させていただければなと思うんですけれども
[02:15] ご興味のある事業内容っていう風なところで
[02:18] ホームページだったりとか
[02:19] LPシステム開発ウェブサービスの開発予算で
[02:24] 大体200万円以下ぐらいで何かしたいです
[02:27] っていう風なところと
[02:28] ホームページLPの制作でしたら
[02:31] 大体50から100ぐらいでっていう風なところで
[02:33] 情報いただいていただければなと思います
[02:36] 具体的に現在こういった開発でしたりとか
[02:38] こういった制作したいみたいなのとかってございますでしょうか
[02:42] はい
[02:43] ちょっと聞かせる資料の共有させていただきます
[02:46] ありがとうございます
[02:48] ごめんなさい
[02:48] まず
[02:56] すいません
[02:57] 弊社が大体売り上げの9割が老人ホームの広告代理店の
[03:02] 投資一覧ですね
[03:07] これ今いつもこういう取引ばっかりしてるんですけれども
[03:12] 基本的にはオフラインでのリード獲得がメインになっているというところで
[03:19] 今回の件SFUさんにもちょっと問い合わせをさせていただいたんですけれども
[03:24] はいはい
[03:26] 一応ベンダーさん向けの制作意図っていう資料をごめんなさい
[03:30] ごめんなさい
[03:31] いいえ
[03:33] うん
[03:36] 完全にジェネスパークで組んだだけなんで
[03:40] わけわかんない情報も入ってるんですけど
[03:45] サービスの目的としては
[03:49] サウンシャーとかバナーとかでネット広告だったりで
[03:54] このサイトもしくはLPの告知をします
[03:57] そこに対して
[04:00] どこに住んでます
[04:02] 何区に住んでます
[04:03] 何歳です
[04:06] 体の状態
[04:07] 老人ホームだとお元気な方から養子園1、2、解放度1から5っていうところがあるんですけど
[04:13] そういうアンケートに答えていってもらう
[04:19] で望むようなどういう施設を望んでるかみたいな
[04:24] こっちか
[04:25] こっか
[04:28] で診断をしたときに
[04:30] 大体その世田谷区とかだったりすると
[04:39] そんなにお金はかけられないとかアンケートに混ぜて
[04:43] 高価格帯でデータベースとして5件くらい
[04:47] 中価格帯で5件とか
[04:50] あとは元気な人向け介護が必要な人向けとか
[04:53] 5件20件くらいぐらいデータベースがあって
[04:56] そこからあなたにはこれがおすすめですよっていうのを
[04:59] 結局画面で3から5件吐き出す
[05:03] その吐き出されたものには元々チェックボックスが入っていて
[05:08] 2位で吐き出すものが入っていて
[05:09] 外すことは可能ですけど
[05:11] そのまま請求する場合は3請求フォームに飛んで
[05:17] 例えばちょっと補足なんですけど
[05:18] 世田谷区とかだと施設が乱立しすぎてたり
[05:22] 行政区の面積が広いんで
[05:25] ニーズとそぐわないものが出てきたときには
[05:29] 世田谷区だけじゃなくてもっと精度を上げるっていって
[05:32] 町長目も任意で追加させたりっていうようなフローのものを
[05:38] っていうようなフローのものを
[05:39] 想定しておりました
[05:43] システムのイメージで言ったら
[05:45] 中古さ買取の一括査定のサイトとか
[05:48] そんな感じのイメージとしては近いですかね
[05:51] いろいろ回答していったら
[05:53] こことここがこんな感じですよみたいなのが
[05:56] バーって一覧でチェックボックス
[05:57] そうですね
[05:59] それ系とか引越し侍の老人版みたいな
[06:05] AIとは言ってるけど別にAIである必要もないと思っているので
[06:10] ただ今っぽくAI使うのかどうかはさておきっていう感じですね
[06:15] API利用料考えると条件分岐でできるなら
[06:18] そっちの方がコストはかからないかなっていう気は
[06:20] はい
[06:22] というのが概略でございます
[06:28] 話はまたメールでお送りさせていただきます
[06:31] よろしくお願いいたします
[06:36] 以上です
[06:38] ありがとうございます
[06:38] 今回の制作の範囲みたいなところで言うと
[06:41] ランディングページも含まれて
[06:43] ランディングのページの中にそういった診断システムが入ってるのか
[06:47] もしくはランディングページから飛ばすのかみたいな
[06:49] そんな感じのイメージになりますか
[06:52] 1ページで終わっちゃう方が早いかなとは
[06:56] 結局診断した後に別のページ紹介
[06:59] この3件ですよみたいな遷移はしないといけないので
[07:03] そこもちょっと私もこれ系はそんなに強くないので
[07:07] ご助言をいただきながらかなっていう印象で問い合わせています
[07:11] 承知いたしました
[07:12] どこまでシステマチックなものにするかみたいなところとかは
[07:17] 要検討かなって気はして
[07:18] あくまでもランディングページで診断機能がありますよみたいな感じの
[07:23] 技術スタックで作っていくのと
[07:27] 後々この診断のシステムのところに
[07:29] 会員登録機能みたいなのが出てきそうです
[07:32] 追加開発的な要素が想定されるのかとか
[07:36] ちょっと初期の動き方も変えてもいいのかなと思ってられました
[07:40] 会員登録は事後的にも必要ないと思うんですね
[07:46] うちで何か二次接触したりってことはほぼないですし
[07:51] ただLP1枚だけってなっちゃうと
[07:54] なんかちょっと素人的に心配なのは
[07:57] 素人目線で心配なのは
[07:59] ある程度ポータルってほど立派じゃなくてもいいけれども
[08:02] LPじゃないものがないと
[08:08] 信用度的に大丈夫なのかなっていう心配もあるんですって
[08:12] そうですね
[08:13] よくある広告から飛ばすような
[08:16] コテコテのLPみたいな感じとかだと
[08:19] もしかしたらユーザーも結構すれてきてるというか
[08:26] 広告から飛んだらこの感じのページのやつで
[08:28] ちょっと怪しいやつでみたいなのはあるかもしれないですね
[08:32] そこは考えつつ
[08:34] とはいえ逆にコンテンツを
[08:36] 1ページ1枚にしないとしたら何を載せるみたいなところとかは
[08:40] 考えていく必要があるのかなって気がしますね
[08:42] 逆にLPみたいな感じじゃなくてコンテンツリッチにするってなってくると
[08:47] そのページプラスメディア系の
[08:50] ちょっと記事を書いてるような機能をつけておいて
[08:53] そこでいろいろ記事を書いていって
[08:55] ことによってSEO的な自然流入も目指せますよっていうのと
[09:00] あとは広告から入ってきてLPにタクチした人でも
[09:08] そういった記事があると信頼性といいますか
[09:10] なんか興味あるなのところから不安を取り除くっていう意味合いで
[09:15] メディアを置いておくっていうのは結構ありかなって
[09:17] そうですね
[09:19] いずれにしてもただ今同時並行で
[09:24] エンドクライアントにニーズヒアリングをしてる状態なので
[09:31] いきなりでかいポータルボーンって作ることはないと思うので
